Business Name,Customer Last Name,Customer First Name,Civic Nbr,Street,Location Latitude,Location Longitude,RFID,Capacity,Capacity Units,Color,Container Type,Manufacturer,Route 1,SeqNbr 1,Route 2,SeqNbr 2,Route 3,SeqNbr 3,Route 4,SeqNbr 4,Route 5,SeqNbr 5,Route 6,SeqNbr 6,Route 7,SeqNbr 7,Route 8,SeqNbr 8,Route 9,SeqNbr 9,Route 10,SeqNbr 10,Route 11,SeqNbr 11,Route 12,SeqNbr 12,Route 13,SeqNbr 13,Route 14,SeqNbr 14
CVM Terry Center,CVM,Terry Center,1052,William Moore Dr.,35.7971441,-78.703651,0000FRR224720827f0000027,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueWaste1,40,RWedWaste1,37,RFriWaste2,41,RSatWaste2,102,RThrWaste2,40,RMonWaste1,37,,,,,,,,,,,,,,,,
CVM Terry Center,CVM,Terry Center,1052,William Moore Dr.,35.7971441,-78.703651,0000FRR22478062920000043,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,61,RMonMR1,11,RWedMR1,45,RFriMR1,49,,,,,,,,,,,,,,,,,,,,
CVM Unit 2 Finger Barn,CVM, Unit 2 Finger Barn,4810,Terry Curtin Dr.,35.7991876,-78.703519,0000FRR22478062920000045,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,33,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM Unit 2 Finger Barn,CVM, Unit 2 Finger Barn,4810,Terry Curtin Dr.,35.7991876,-78.703519,0000FRR224720827f0000028,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,48,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM Unit 5 Finger Barn,CVM, Unit 5 Finger Barn,4840,Terry Curtin Dr.,35.7999218,-78.703117,0000FRR224720827f0000029,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,47,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM Woodchuck Facility,CVM, Woodchuck Facility,1221,Horse Lane,35.8007236,-78.70296,0000FRR224720827f000002a,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabney Hall,Dabney,Hall,2620,Yarbrough Dr.,35.78605285,-78.6713531,0000FRR2247208280000004c,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,20,RTueSpot1,26,RWedSpot1,33,RThrSpot1,41,RFriSpot1,44,,,,,,,,,,,,,,,,,,
Dabney Hall,Dabney,Hall,2620,Yarbrough Dr.,35.78605285,-78.6713531,0000FRR2247806293000007f,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabney Hall,Dabney,Hall,2620,Yarbrough Dr.,35.78605285,-78.6713531,0000FRR2247208280000004c,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,21,RTueSpot1,9,RWedSpot1,13,RThrSpot1,23,RFriSpot1,22,,,,,,,,,,,,,,,,,,
Dabney Hall,Dabney,Hall,2620,Yarbrough Dr.,35.78605285,-78.6713531,0000FRR2247806293000007f,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrSpot1,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabney Hall,Dabney,Hall,2620,Yarbrough Dr.,35.78605285,-78.6713531,0000FRR2247208280000004c,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueWaste1,26,RWedWaste1,21,RThrWaste1,31,RFriWaste2,34,RMonWaste1,26,,,,,,,,,,,,,,,,,,
Dabney Hall,Dabney,Hall,2620,Yarbrough Dr.,35.78605285,-78.6713531,0000FRR2247806293000007f,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrSpot1,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy Education Unit,Dairy, Education Unit,301,Dairy Ln.,35.72410731,-78.67998315,0000FRR22472082800000079,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,69,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniels Hall,Daniels, Hall,111,Lampe Dr.,35.78574177,-78.66772795,0000FRR2247208280000004d,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueSpot1,7,RThrSpot1,13,RSatSpot1,24,,,,,,,,,,,,,,,,,,,,,,
Daniels Hall,Daniels, Hall,111,Lampe Dr.,35.78574177,-78.66772795,0000FRR22478062930000081,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrSpot1,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniels Hall,Daniels, Hall,111,Lampe Dr.,35.78574177,-78.66772795,0000FRR22478062930000081,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniels Hall,Daniels, Hall,111,Lampe Dr.,35.78574177,-78.66772795,0000FRR2247208280000004d,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueSpot1,20,RThrSpot1,46,RSatSpot1,64,,,,,,,,,,,,,,,,,,,,,,
Daniels Hall,Daniels, Hall,111,Lampe Dr.,35.78574177,-78.66772795,0000FRR2247208280000004d,10,Yard,BROWN,DUMPSTER,WASTEQUIP,RTueWaste1,20,RThrWaste1,26,RSatWaste2,37,,,,,,,,,,,,,,,,,,,,,,
Daniels Hall,Daniels, Hall,111,Lampe Dr.,35.78574177,-78.66772795,0000FRR22478062930000081,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrSpot1,45,,,,,,,,,,,,,,,,,,,,,,,,,,
David Clark Labs,David, Clark Labs,100,Brooks Ave.,35.78736144,-78.67415466,0000FRR22478062930000083,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,26,,,,,,,,,,,,,,,,,,,,,,,,,,
David Clark Labs,David, Clark Labs,100,Brooks Ave.,35.78736144,-78.67415466,0000FRR226681e2990000003,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrWaste2,30,,,,,,,,,,,,,,,,,,,,,,,,,,
David Clark Labs,David, Clark Labs,100,Brooks Ave.,35.78736144,-78.67415466,0000FRR225ab1aead0000008,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RSatWaste2,63,RTueWaste1,35,RThrWaste2,29,,,,,,,,,,,,,,,,,,,,,,
David Clark Labs,David, Clark Labs,100,Brooks Ave.,35.78736144,-78.67415466,0000FRR225ab1aead0000008,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrSpot1,72,RSatSpot1,84,RTueSpot1,31,,,,,,,,,,,,,,,,,,,,,,
David Clark Labs,David, Clark Labs,100,Brooks Ave.,35.78736144,-78.67415466,0000FRR225ab1aead0000008,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrSpot1,73,RSatSpot1,42,RTueSpot1,17,,,,,,,,,,,,,,,,,,,,,,
